Time,pair,open,high,low,close,volume,rsi_6,macd
2017-12-03 17:00:00,ETH/USDT,466.32,467.32,465.01,466.02,803.2614,70.69862920087924,2.446168937043751
2017-12-03 18:00:00,ETH/USDT,466.02,467.05,463.39,464.03,973.99601,59.18460292330214,2.462183278300131
2017-12-03 19:00:00,ETH/USDT,464.03,466.0,464.03,465.87,905.89711,65.43123686387366,2.593451684944739
2017-12-03 20:00:00,ETH/USDT,465.86,479.47,465.86,477.68,1484.62049,84.13394124799726,3.6088505598377765
2017-12-03 21:00:00,ETH/USDT,478.13,485.9,473.84,477.23,1545.50074,82.10288090225619,4.327367050881264
2017-12-03 22:00:00,ETH/USDT,477.11,478.8,474.99,476.19,1394.33025,76.95097645092176,4.758029634452441
2017-12-03 23:00:00,ETH/USDT,476.19,478.22,473.0,476.59,992.23237,77.59971665554838,5.073129611501486
2017-12-04 00:00:00,ETH/USDT,476.58,478.78,475.21,475.99,1223.39472,73.85785704310426,5.214326122163811
2017-12-04 01:00:00,ETH/USDT,475.99,479.0,473.57,474.74,911.15505,65.91214522780663,5.165812549353291
2017-12-04 02:00:00,ETH/USDT,474.74,478.93,473.47,476.23,658.58756,70.45816278819483,5.187794080064634
2017-12-04 03:00:00,ETH/USDT,476.21,479.98,475.0,477.15,791.4201,73.11477362928656,5.219286229994509
2017-12-04 04:00:00,ETH/USDT,477.25,481.1,477.25,479.25,960.71198,78.42834599113102,5.352001888999382
2017-12-04 05:00:00,ETH/USDT,479.25,480.64,461.0,468.85,1372.79999,36.06662045950076,4.565360289769615
2017-12-04 06:00:00,ETH/USDT,468.81,468.86,445.9,453.0,1689.09326,18.1438071637792,2.632631284221816
2017-12-04 07:00:00,ETH/USDT,453.14,463.1,440.11,455.81,1731.91509,25.970264597982847,1.312542960396911
2017-12-04 08:00:00,ETH/USDT,456.99,461.26,453.0,460.3,1018.15759,37.439515569756644,0.6215046102731776
2017-12-04 09:00:00,ETH/USDT,460.3,465.97,459.38,460.12,1448.09307,37.16253987692959,0.05865114951785699
2017-12-04 10:00:00,ETH/USDT,460.29,465.86,460.14,463.2,987.2632,45.44907562520533,-0.1373012900997992
2017-12-04 11:00:00,ETH/USDT,463.2,464.22,456.5,458.72,1242.16965,36.94513551351968,-0.6466395115654677
2017-12-04 12:00:00,ETH/USDT,458.63,463.78,457.37,462.03,954.80721,45.917078548682895,-0.774278978393852
2017-12-04 13:00:00,ETH/USDT,462.17,469.45,462.02,464.33,891.41253,51.653181050802736,-0.681981934132466
2017-12-04 14:00:00,ETH/USDT,464.0,466.0,460.0,464.5,1147.51863,52.10374932613789,-0.5883363076127353
2017-12-04 15:00:00,ETH/USDT,465.39,467.65,465.39,467.65,36.63598,60.32522939354206,-0.25698048845777066
2017-12-04 16:00:00,ETH/USDT,467.65,469.57,463.76,468.79,874.38602,63.07764155347462,0.09649749507894967
2017-12-04 17:00:00,ETH/USDT,468.69,470.98,467.67,468.76,734.8757,62.93975505558695,0.369946086225184
2017-12-04 18:00:00,ETH/USDT,468.29,470.97,463.0,464.02,431.10553,44.497313407636256,0.20185086747954983
